fpi_program_name,fpi_al_number,submission_period,agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,obligations_undelivered_orders_unpaid_total,obligations_undelivered_orders_unpaid_total_FYB,USSGL480100_undelivered_orders_obligations_unpaid,USSGL480100_undelivered_orders_obligations_unpaid_FYB,USSGL488100_upward_adj_prior_year_undeliv_orders_oblig_unpaid,obligations_delivered_orders_unpaid_total,obligations_delivered_orders_unpaid_total_FYB,USSGL490100_delivered_orders_obligations_unpaid,USSGL490100_delivered_orders_obligations_unpaid_FYB,USSGL498100_upward_adj_of_prior_year_deliv_orders_oblig_unpaid,gross_outlay_amount_FYB_to_period_end,gross_outlay_amount_FYB,gross_outlays_undelivered_orders_prepaid_total,gross_outlays_undelivered_orders_prepaid_total_FYB,USSGL480200_undelivered_orders_obligations_prepaid_advanced,USSGL480200_undelivered_orders_obligations_prepaid_advanced_FYB,USSGL488200_upward_adj_prior_year_undeliv_orders_oblig_prepaid,gross_outlays_delivered_orders_paid_total,gross_outlays_delivered_orders_paid_total_FYB,USSGL490200_delivered_orders_obligations_paid,USSGL490800_authority_outlayed_not_yet_disbursed,USSGL490800_authority_outlayed_not_yet_disbursed_FYB,USSGL498200_upward_adj_of_prior_year_deliv_orders_oblig_paid,deobligations_or_recoveries_or_refunds_from_prior_year,USSGL487100_downward_adj_prior_year_unpaid_undeliv_orders_oblig,USSGL497100_downward_adj_prior_year_unpaid_deliv_orders_oblig,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,USSGL483100_undelivered_orders_obligations_transferred_unpaid,USSGL493100_delivered_orders_obligations_transferred_unpaid,USSGL483200_undeliv_orders_oblig_transferred_prepaid_advanced,last_modified_date
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0110,"Construction, Major Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,0.0,Unknown,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,982311.58,982311.58,982311.58,982311.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0110,"Construction, Major Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,23.3,"Communications, utilities, and miscellaneous charges",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0110,"Construction, Major Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,24.0,Printing and reproduction,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0110,"Construction, Major Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,25.1,Advisory and assistance services,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,113566.58,518705.71,2063918.6,518705.71,2063918.6,0.0,0.0,0.0,0.0,0.0,0.0,1658779.47,0.0,0.0,0.0,0.0,0.0,0.0,1658779.47,0.0,1658779.47,0.0,0.0,0.0,-116411.96,-116411.96,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0110,"Construction, Major Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,32.0,Land and structures,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,25156385.54,170507612.75,211440546.97,169651816.38,211440546.97,855796.37,1878332.83,1878332.83,1878332.83,9807805.18,0.0,74018792.13,0.0,0.0,0.0,0.0,0.0,0.0,74018792.13,0.0,74018792.13,0.0,0.0,0.0,-2109542.46,-2048662.74,0.0,0.0,-60879.72,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,0.0,Unknown,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,482890.08,482890.08,482890.08,482890.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,22.0,Transportation of things,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,23.3,"Communications, utilities, and miscellaneous charges",D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,6415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6415.0,0.0,0.0,0.0,0.0,0.0,0.0,6415.0,0.0,6415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,25.1,Advisory and assistance services,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,3365.03,3365.03,3365.03,3365.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,25.2,Other services from non-Federal sources,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,220.0,0.0,0.0,0.0,0.0,0.0,-195376.73,-195376.73,-195376.73,-195376.73,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,25.4,Operation and maintenance of facilities,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,-8185.0,-8185.0,-8185.0,-8185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,26.0,Supplies and materials,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,-1769.0,-1769.0,-1769.0,-1769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,31.0,Equipment,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,502.13,220200.0,502.13,220200.0,0.0,0.0,0.0,0.0,0.0,0.0,219697.87,0.0,0.0,0.0,0.0,0.0,0.0,219697.87,0.0,219697.87,0.0,0.0,0.0,-502.13,-502.13,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,32.0,Land and structures,D,C,Bipartisan Budget Act of 2018,0.0,3910.5,3910.5,3910.5,3910.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
national cemeteries,64.201,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",2,NATIONAL CEMETERIES,32.0,Land and structures,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,30990367.77,131313186.87,169320600.61,129264259.21,169320600.61,2048927.66,1614121.87,1614121.87,1614121.87,910115.11,0.0,68293774.75,0.0,0.0,0.0,0.0,0.0,0.0,68293774.75,0.0,68293774.75,0.0,0.0,0.0,-768892.95,-768892.95,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
champva,64.039,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0140,"Medical Community Care, Veterans Health Administration, Veterans Affairs",7,CHAMPVA & OTHER DEPENDENT PROGRAMS,25.2,Other services from non-Federal sources,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.17,0.0,0.0,0.0,-6.17,0.0,0.0,0.0,2025-07-01
champva,64.039,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0140,"Medical Community Care, Veterans Health Administration, Veterans Affairs",7,CHAMPVA & OTHER DEPENDENT PROGRAMS,25.6,Medical care,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,1536494509.34,2799599.85,0.0,2799599.85,0.0,0.0,-10102406.64,-10102406.64,-10201903.79,0.0,99497.15,1543797316.13,0.0,0.0,0.0,0.0,0.0,0.0,1543797316.13,0.0,1543797316.13,0.0,0.0,0.0,-8772561.66,-2800438.46,0.0,0.0,-5972123.2,0.0,0.0,0.0,2025-07-01
champva,64.039,FY2025P08,Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,036-0160,"Medical Services, Veterans Health Administration, Veterans Affairs",5,CHAMPVA (EXCLUDING CAREGIVERS),11.1,Full-time permanent,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,9504757.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9504757.65,0.0,0.0,0.0,0.0,0.0,0.0,9504757.65,0.0,9504757.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01
